station,lat,lon,station_name_pinyin,station_name_zh,station_name_en,city_pinyin,city_zh,city_en,region,province
1428A,29.709,106.452,càijiā,蔡家,Cai Jia,zhòngqìng,重庆,Chongqing,Mainland China,Chongqing
1429A,29.389,106.513,yúxīnjiē,鱼新街,Fish new street,zhòngqìng,重庆,Chongqing,Mainland China,Chongqing
1430A,29.4272,106.591,nánquán,南泉,Nanquan,zhòngqìng,重庆,Chongqing,Mainland China,Chongqing
1431A,30.72358333,103.97275,jīnquánliǎnghé,金泉两河,Jinquan two rivers,chéngdū,成都,Chengdu,Mainland China,Sichuan
1432A,30.6872,104.176,shílǐdiàn,十里店,Shilidian,chéngdū,成都,Chengdu,Mainland China,Sichuan
1433A,30.5706,104.079,sānwǎyáo,三瓦窑,Sanwa Kiln,chéngdū,成都,Chengdu,Mainland China,Sichuan
1434A,30.63,104.1113889,shāhépū,沙河铺,Shahepu,chéngdū,成都,Chengdu,Mainland China,Sichuan
1435A,30.685,104.074,liángjiāxiàng,梁家巷,Liangjiaxiang,chéngdū,成都,Chengdu,Mainland China,Sichuan
1436A,30.6544,104.026,cǎotángsì,草堂寺,Caotang Temple,chéngdū,成都,Chengdu,Mainland China,Sichuan
1437A,30.6578,104.054,jūnpíngjiē,君平街,Junping Street,chéngdū,成都,Chengdu,Mainland China,Sichuan
1438A,31.0283,103.613,língyánsì,灵岩寺,Lingyan Temple,chéngdū,成都,Chengdu,Mainland China,Sichuan
1439A,26.6029,106.6856,mǎānshān,马鞍山,Ma On Shan,gùiyáng,贵阳,Guiyang,Mainland China,Guizhou
1440A,26.5689,106.6971,shìhuánbǎozhàn,市环保站,City Environmental Protection Station,gùiyáng,贵阳,Guiyang,Mainland China,Guizhou
1441A,26.6266,106.6243,jiànhúlù,鉴湖路,Jianhu Road,gùiyáng,贵阳,Guiyang,Mainland China,Guizhou
1442A,26.6343,106.7487,yànzǐchōng,燕子冲,Swallow,gùiyáng,贵阳,Guiyang,Mainland China,Guizhou
1443A,26.4364,106.6554,bìyúnwō,碧云窝,Biyunwo,gùiyáng,贵阳,Guiyang,Mainland China,Guizhou
1444A,26.5155,106.6948,zhōngyuàncūn,中院村,Zhongyuan Village,gùiyáng,贵阳,Guiyang,Mainland China,Guizhou
1445A,26.6009,106.7105,hóngbiānmén,红边门,Red door,gùiyáng,贵阳,Guiyang,Mainland China,Guizhou
1446A,26.5697,106.7164,xīnhuálù,新华路,Xinhua Road,gùiyáng,贵阳,Guiyang,Mainland China,Guizhou
1449A,25.0124,102.743,guānshàng,关上,close,kūnmíng,昆明,Kunming,Mainland China,Yunnan
1450A,24.8885,102.821,chénggòngxīnqū,呈贡新区,Chenggong New District,kūnmíng,昆明,Kunming,Mainland China,Yunnan
1451A,24.9624,102.625,xīshānsēnlíngōngyuán,西山森林公园,Xishan Forest Park,kūnmíng,昆明,Kunming,Mainland China,Yunnan
1452A,25.0836,102.728,lóngquánzhèn,龙泉镇,Longquan Town,kūnmíng,昆明,Kunming,Mainland China,Yunnan
1453A,25.0405,102.722,dōngfēngdōnglù,东风东路,Dongfeng East Road,kūnmíng,昆明,Kunming,Mainland China,Yunnan
1454A,25.067,102.681,jīndǐngshān,金鼎山,Jindingshan,kūnmíng,昆明,Kunming,Mainland China,Yunnan
1455A,25.0359,102.638,bìjīguǎngcháng,碧鸡广场,Biji Square,kūnmíng,昆明,Kunming,Mainland China,Yunnan
1456A,29.6514,91.1319,bākuòjiē,八廓街,Barkhor,lāsà,拉萨,Lhasa Googut,Mainland China,Xizang
1457A,29.6747,91.1221,shìhuánbǎojú,市环保局,municipal environmental protection Bureau,lāsà,拉萨,Lhasa Googut,Mainland China,Xizang
1458A,29.6475,91.0874,qūjiāncèzhàn,区监测站,District monitoring station,lāsà,拉萨,Lhasa Googut,Mainland China,Xizang
1459A,29.6541,91.1774,xīcángdàxué,西藏大学,Tibet University,lāsà,拉萨,Lhasa Googut,Mainland China,Xizang
1460A,29.6588,90.9798,qūfúshèzhàn,区辐射站,District radiation station,lāsà,拉萨,Lhasa Googut,Mainland China,Xizang
1461A,29.6292,91.0834,lāsàhuǒchēzhàn,拉萨火车站,Lhasa Railway Station,lāsà,拉萨,Lhasa Googut,Mainland China,Xizang
1462A,34.2749,108.882,gāoyākāiguānchǎng,高压开关厂,High voltage switch factory,xīān,西安,Xi'an,Mainland China,Shaanxi
1463A,34.2629,108.993,xīngqìngxiǎoqū,兴庆小区,Xingqing Community,xīān,西安,Xi'an,Mainland China,Shaanxi
1464A,34.2572,109.06,fǎngzhīchéng,纺织城,Fangzhicheng,xīān,西安,Xi'an,Mainland China,Shaanxi
1465A,34.2324,108.94,xiǎozhài,小寨,Xiaozhai,xīān,西安,Xi'an,Mainland China,Shaanxi
1466A,34.2713,108.954,shìrénmíntǐyùcháng,市人民体育场,City People&#39;s Stadium,xīān,西安,Xi'an,Mainland China,Shaanxi
1467A,34.2303,108.883,gāoxīnxīqū,高新西区,Gaoxin West District,xīān,西安,Xi'an,Mainland China,Shaanxi
1468A,34.3474,108.935,jīngkāiqū,经开区,Economic Development Zone,xīān,西安,Xi'an,Mainland China,Shaanxi
1469A,34.1546,108.906,chángānqū,长安区,Chang'an District,xīān,西安,Xi'an,Mainland China,Shaanxi
1470A,34.6575,109.2,yánliángqū,阎良区,Yanliang District,xīān,西安,Xi'an,Mainland China,Shaanxi
1471A,34.3731,109.2186,líntóngqū,临潼区,Lintong District,xīān,西安,Xi'an,Mainland China,Shaanxi
1472A,34.378,108.869,cǎotān,草滩,Grass beach,xīān,西安,Xi'an,Mainland China,Shaanxi
1473A,34.1978,108.985,qūjiāngwénhuàchǎnyèjítuán,曲江文化产业集团,Qujiang Cultural Industry Group,xīān,西安,Xi'an,Mainland China,Shaanxi
1474A,34.3274,109.043,guǎngyùntán,广运潭,Guangyuntan,xīān,西安,Xi'an,Mainland China,Shaanxi
1475A,36.0756,103.712,zhígōngyìyuàn,职工医院,Staff hospital,lánzhōu,兰州,Lanzhou,Mainland China,Gansu
1476A,36.1031,103.631,lánliànbīnguǎn,兰炼宾馆,Lanlian Hotel,lánzhōu,兰州,Lanzhou,Mainland China,Gansu
1477A,35.94,104.148,yúzhōnglándàxiàoqū,榆中兰大校区,Langzhong Lanzhou Campus,lánzhōu,兰州,Lanzhou,Mainland China,Gansu
1478A,36.0725,103.841,shēngwùzhìpǐnsuǒ,生物制品所,Biological Products Institute,lánzhōu,兰州,Lanzhou,Mainland China,Gansu
1479A,36.0464,103.831,tiělùshèjìyuàn,铁路设计院,Railway design institute,lánzhōu,兰州,Lanzhou,Mainland China,Gansu
1480A,36.6428,101.748,shìhuánjìngjiāncèzhàn,市环境监测站,City Environmental Monitoring Station,xīníng,西宁,Xining,Mainland China,Qinghai
1481A,36.6922,101.749,shěngyìyàocāngkù,省医药仓库,Provincial medical warehouse,xīníng,西宁,Xining,Mainland China,Qinghai
1482A,36.5819,101.834,sìlùyìyuàn,四陆医院,Four Land Hospital,xīníng,西宁,Xining,Mainland China,Qinghai
1483A,36.6867,101.524,dìwǔshǔichǎng,第五水厂,Fifth water plant,xīníng,西宁,Xining,Mainland China,Qinghai
1484A,38.6016,105.9512,hèlánshānmǎliánkǒu,贺兰山马莲口,Helan Mountain Ma Liankou,yínchuān,银川,Yinchuan,Mainland China,Ningxia Hui
1485A,38.4744,106.2682,yínhúxiàng,银湖巷,Yinhu Lane,yínchuān,银川,Yinchuan,Mainland China,Ningxia Hui
1486A,38.4536,106.217,níngāndàjiē,宁安大街,Ning&#39;an Avenue,yínchuān,银川,Yinchuan,Mainland China,Ningxia Hui
1487A,38.4858,106.0715,nínghuàshēnghuóqū,宁化生活区,Ninghua Living Area,yínchuān,银川,Yinchuan,Mainland China,Ningxia Hui
1488A,38.4975,106.2328,hèlánshāndōnglù,贺兰山东路,Helan Shandong Road,yínchuān,银川,Yinchuan,Mainland China,Ningxia Hui
1489A,38.5036,106.1358,xuéyuànlù,学院路,College Road,yínchuān,银川,Yinchuan,Mainland China,Ningxia Hui
1490A,43.8303,87.5801,jiāncèzhàn,监测站,GHG monitoring,wūlǔmùqí,乌鲁木齐,Urumqi,Mainland China,Xinjiang Uygur
1491A,43.768,87.6046,shōufèisuǒ,收费所,Toll booth,wūlǔmùqí,乌鲁木齐,Urumqi,Mainland China,Xinjiang Uygur
1492A,43.9469,87.4754,xīnjiāngnóngkēyuànnóngcháng,新疆农科院农场,Xinjiang Academy of Agricultural Sciences Farm,wūlǔmùqí,乌鲁木齐,Urumqi,Mainland China,Xinjiang Uygur
1493A,43.8711,87.5525,tiělùjú,铁路局,Railway Bureau,wūlǔmùqí,乌鲁木齐,Urumqi,Mainland China,Xinjiang Uygur
1494A,43.831,87.6432,sānshíyīzhōngxué,三十一中学,31 Middle School,wūlǔmùqí,乌鲁木齐,Urumqi,Mainland China,Xinjiang Uygur
1495A,43.8729,87.4171,qīshísìzhōngxué,七十四中学,Seventy-four middle school,wūlǔmùqí,乌鲁木齐,Urumqi,Mainland China,Xinjiang Uygur
1496A,43.962,87.6444,mǐdōngqūhuánbǎojú,米东区环保局,Mido District Environmental Protection Agency,wūlǔmùqí,乌鲁木齐,Urumqi,Mainland China,Xinjiang Uygur
1508A,27.8614,112.9433,bǎntáng,板塘,Bantang,xiāngtán,湘潭,Xiangtan,Mainland China,Hunan
1511A,27.8403,112.9118,shìjiāncèzhàn,市监测站,City monitoring station,xiāngtán,湘潭,Xiangtan,Mainland China,Hunan
1512A,27.8728,112.8937,jiānglù,江麓,Jiang Yan,xiāngtán,湘潭,Xiangtan,Mainland China,Hunan
1513A,27.8159,112.9227,yuètáng,岳塘,Yuetang,xiāngtán,湘潭,Xiangtan,Mainland China,Hunan
1514A,27.9119,112.9074,kēdà,科大,HKUST,xiāngtán,湘潭,Xiangtan,Mainland China,Hunan
1515A,27.8244,113.135,tiāntáishānzhuāng,天台山庄,Tiantai Mountain Villa,zhūzhōu,株洲,Zhuzhou,Mainland China,Hunan
1518A,27.8867,113.095,zhūyěyìyuàn,株冶医院,Zhuye Hospital,zhūzhōu,株洲,Zhuzhou,Mainland China,Hunan
1519A,27.8667,113.167,shìsìzhōng,市四中,City No. 4,zhūzhōu,株洲,Zhuzhou,Mainland China,Hunan
1520A,27.8381,113.143,huǒchēzhàn,火车站,RAIL STATION,zhūzhōu,株洲,Zhuzhou,Mainland China,Hunan
1524A,27.8528,113.13,shìjiāncèzhàn,市监测站,City monitoring station,zhūzhōu,株洲,Zhuzhou,Mainland China,Hunan
1552A,26.3003,106.805,tóngmùlíng,桐木岭,Tongmuling,gùiyáng,贵阳,Guiyang,Mainland China,Guizhou
1559A,27.8336,113.251,dàjīngfēngjǐngqū,大京风景区,Dajing Scenic Area,zhūzhōu,株洲,Zhuzhou,Mainland China,Hunan
1562A,27.9153,113.0048,zhāoshān,昭山,Zhaoshan,xiāngtán,湘潭,Xiangtan,Mainland China,Hunan
1749A,41.0931,123.011,tàiyángchéng,太阳城,Sun City,ānshān,鞍山,Anshan,Mainland China,Liaoning
1750A,41.1442,123.0485,tàipíng,太平,Taiping,ānshān,鞍山,Anshan,Mainland China,Liaoning
1751A,41.0971,122.9642,tiěxīsāndàojiē,铁西三道街,Tiexi Sandao Street,ānshān,鞍山,Anshan,Mainland China,Liaoning
1752A,41.0833,122.9481,tiěxīgōngyèyuánqū,铁西工业园区,Tiexi Industrial Park,ānshān,鞍山,Anshan,Mainland China,Liaoning
1753A,41.0831,123.0156,míngdáxīnqū,明达新区,Mingda New District,ānshān,鞍山,Anshan,Mainland China,Liaoning
1754A,41.0228,123.1289,qiānshān,千山,Qianshan,ānshān,鞍山,Anshan,Mainland China,Liaoning
1755A,41.8469,123.81,wànghuāqū,望花区,Wanghua District,fǔshùn,抚顺,Fushun,Mainland China,Liaoning
1756A,41.8828,123.9169,shùnchéngqū,顺城区,Shuncheng,fǔshùn,抚顺,Fushun,Mainland China,Liaoning
1757A,41.8625,124.0383,dōngzhōuqū,东洲区,Dongzhou District,fǔshùn,抚顺,Fushun,Mainland China,Liaoning
1758A,41.8594,123.9,xīnfǔqū,新抚区,Xinfu District,fǔshùn,抚顺,Fushun,Mainland China,Liaoning
1759A,41.8864,124.0878,dàhuǒfángshǔikù,大伙房水库,Dahuofang Reservoir,fǔshùn,抚顺,Fushun,Mainland China,Liaoning
1760A,41.8417,123.7117,shěnfǔxīnchéng,沈抚新城,Shen Fu New City,fǔshùn,抚顺,Fushun,Mainland China,Liaoning
1761A,41.3283,123.8436,dàyù,大峪,Daxie,běnxī,本溪,Benxi,Mainland China,Liaoning
1762A,41.3369,123.7528,xīhú,溪湖,Creek lake,běnxī,本溪,Benxi,Mainland China,Liaoning
1763A,41.3047,123.7308,cǎitún,彩屯,Choi,běnxī,本溪,Benxi,Mainland China,Liaoning
1764A,41.2864,123.7669,dōngmíng,东明,Dongming,běnxī,本溪,Benxi,Mainland China,Liaoning
1765A,41.2692,123.7989,xīnlìtún,新立屯,Xinli,běnxī,本溪,Benxi,Mainland China,Liaoning
1766A,41.3472,123.8142,wēiníng,威宁,Weining,běnxī,本溪,Benxi,Mainland China,Liaoning
1767A,41.0781,121.0986,nánshān,南山,Nanshan,jǐnzhōu,锦州,Jinzhou,Mainland China,Liaoning
1768A,40.8333,121.045,kāifāqū,开发区,Thereof: Development,jǐnzhōu,锦州,Jinzhou,Mainland China,Liaoning
1769A,41.1219,121.2008,bǎigǔjiēdào,百股街道,Hundreds of streets,jǐnzhōu,锦州,Jinzhou,Mainland China,Liaoning
1770A,41.1222,121.1178,tiānānjiēdào,天安街道,Cheonan Street,jǐnzhōu,锦州,Jinzhou,Mainland China,Liaoning
1771A,41.1386,121.1303,běihúgōngyuán,北湖公园,North Lake Park,jǐnzhōu,锦州,Jinzhou,Mainland China,Liaoning
1772A,43.8875,126.555,hādáwān,哈达湾,Hatta Bay,jílín,吉林,Jilin,Mainland China,Jilin
1773A,43.8358,126.5844,dōngjúzǐ,东局子,East Bureau,jílín,吉林,Jilin,Mainland China,Jilin
1774A,43.8228,126.4978,diànlìxuéyuàn,电力学院,Electric power college,jílín,吉林,Jilin,Mainland China,Jilin
1775A,43.8947,126.5786,jiāngběi,江北,Jiangbei,jílín,吉林,Jilin,Mainland China,Jilin
1776A,43.8256,126.55,jiāngnángōngyuán,江南公园,Jiangnan Park,jílín,吉林,Jilin,Mainland China,Jilin
1777A,43.8427,125.36535,nóngkēyuàn,农科院,Academy of Agricultural Sciences,jílín,吉林,Jilin,Mainland China,Jilin
1778A,43.7256,126.6772,fēngmǎn,丰满,Voluptuous,jílín,吉林,Jilin,Mainland China,Jilin
1779A,47.3636,123.9305,ānjūxiǎoqū,安居小区,Anju Community,qíqíhāěr,齐齐哈尔,Qiqihar,Mainland China,Heilongjiang
1780A,47.3386,123.9305,zhōngxīnguǎngcháng,中心广场,Central Square,qíqíhāěr,齐齐哈尔,Qiqihar,Mainland China,Heilongjiang
1781A,47.3227,123.9483,nóngmùchēliàngchǎng,农牧车辆厂,Farming and animal vehicle factory,qíqíhāěr,齐齐哈尔,Qiqihar,Mainland China,Heilongjiang
1782A,47.203,123.6261,fùqūhuánbǎojú,富区环保局,Fuzhou Environmental Protection Bureau,qíqíhāěr,齐齐哈尔,Qiqihar,Mainland China,Heilongjiang
1783A,47.2988,123.945,shìhuánjìngjiāncèzhàn,市环境监测站,City Environmental Monitoring Station,qíqíhāěr,齐齐哈尔,Qiqihar,Mainland China,Heilongjiang
1784A,44.56100000000001,129.61,huánbǎodàlóu　,环保大楼　,Environmental protection building,mǔdānjiāng,牡丹江,Mudan River,Mainland China,Heilongjiang
1785A,44.5782,129.6115,wénhuàguǎngcháng　,文化广场　,cultural Square,mǔdānjiāng,牡丹江,Mudan River,Mainland China,Heilongjiang
1786A,44.5952,129.5902,dìyīyìyuàn,第一医院,First hospital,mǔdānjiāng,牡丹江,Mudan River,Mainland China,Heilongjiang
1787A,44.6104,129.6459,jīchēgōngchǎng,机车工厂,Locomotive factory,mǔdānjiāng,牡丹江,Mudan River,Mainland China,Heilongjiang
1788A,44.5462,129.6386,dìyīzhōngxué,第一中学,first Middle school,mǔdānjiāng,牡丹江,Mudan River,Mainland China,Heilongjiang
1789A,46.0347,124.8354,dàtóngqū,大同区,Datong District,dàqìng,大庆,Daqing,Mainland China,Heilongjiang
1790A,46.528,125.112,lóngfèngqū,龙凤区,Longfeng District,dàqìng,大庆,Daqing,Mainland China,Heilongjiang
1791A,46.3991,124.8847,hónggǎngqū,红岗区,Honggang District,dàqìng,大庆,Daqing,Mainland China,Heilongjiang
1792A,46.5776,125.1386,sàěrtúqū,萨尔图区,Saltu District,dàqìng,大庆,Daqing,Mainland China,Heilongjiang
1793A,46.6219,124.8648,rànghúlùqū,让胡路区,Let Hulu District,dàqìng,大庆,Daqing,Mainland China,Heilongjiang
1794A,31.3508,118.3528,jiāncèzhàn,监测站,GHG monitoring,wúhú,芜湖,Wuhu,Mainland China,Anhui
1795A,31.4189,118.37,kēchuàngzhōngxīn,科创中心,Branch Center,wúhú,芜湖,Wuhu,Mainland China,Anhui
1796A,31.3178,118.3708,sìshǔichǎng,四水厂,Four water plant,wúhú,芜湖,Wuhu,Mainland China,Anhui
1797A,31.3839,118.4022,wǔqīèrlíngchǎng,五七二零厂,Wuqi 20 Factory,wúhú,芜湖,Wuhu,Mainland China,Anhui
1798A,31.6861,118.5058,húdōnglùsìxiǎo,湖东路四小,Hudong Road four small,mǎānshān,马鞍山,Ma On Shan,Mainland China,Anhui
1799A,31.6411,118.4828,tiānpíngfúzhuāng,天平服装,Balance clothing,mǎānshān,马鞍山,Ma On Shan,Mainland China,Anhui
1800A,31.7506,118.5106,cíhúèrxiǎo,慈湖二小,Cihu two small,mǎānshān,马鞍山,Ma On Shan,Mainland China,Anhui
1801A,31.6928,118.48,mǎgāngdònglìchǎng,马钢动力厂,Ma Steel Power Plant,mǎānshān,马鞍山,Ma On Shan,Mainland China,Anhui
1802A,31.7133,118.6439,shìjiàoyùjīdì,市教育基地,City Education Base,mǎānshān,马鞍山,Ma On Shan,Mainland China,Anhui
1803A,29.6816,115.9872,shílǐ,十里,Ten miles,jǐujiāng,九江,Jiujiang,Mainland China,Jiangxi
1804A,29.7048,115.9581,máoshāntóu,茅山头,Maoshantou,jǐujiāng,九江,Jiujiang,Mainland China,Jiangxi
1805A,29.7292,115.988,xīyuán,西园,West Park,jǐujiāng,九江,Jiujiang,Mainland China,Jiangxi
1806A,29.6535,116.0174,wǔqīèrqīchǎng,五七二七厂,Five seven twenty seven factory,jǐujiāng,九江,Jiujiang,Mainland China,Jiangxi
1807A,29.6926,116.0628,shǔikēsuǒ,水科所,Water Institute,jǐujiāng,九江,Jiujiang,Mainland China,Jiangxi
1808A,29.6039,115.9114,zònghégōngyèyuán,综合工业园,Integrated industrial park,jǐujiāng,九江,Jiujiang,Mainland China,Jiangxi
1809A,29.7534,116.0726,shíhuàzǒngchǎng,石化总厂,Petrochemical plant,jǐujiāng,九江,Jiujiang,Mainland China,Jiangxi
1810A,29.5867,115.9936,lúshānqìxiàngtái,庐山气象台,Lushan Meteorological Station,jǐujiāng,九江,Jiujiang,Mainland China,Jiangxi
1811A,34.6692,112.3628,zhōngxìnèrxiǎo,中信二小,CITIC II,luòyáng,洛阳,IDS_PZSD508,Mainland China,Henan
1812A,34.6511,112.3939,shìwěidǎngxiào,市委党校,Party School of Municipal Committee,luòyáng,洛阳,IDS_PZSD508,Mainland China,Henan
1813A,34.67,112.4333,shìjiāncèzhàn,市监测站,City monitoring station,luòyáng,洛阳,IDS_PZSD508,Mainland China,Henan
1814A,34.6869,112.4664,yùxībīnguǎn,豫西宾馆,Yuxi Hotel,luòyáng,洛阳,IDS_PZSD508,Mainland China,Henan
1815A,34.6869,112.4831,hénánlínxiào,河南林校,Henan Forestry School,luòyáng,洛阳,IDS_PZSD508,Mainland China,Henan
1816A,34.6231,112.3844,kāifāqūguǎnwěihùi,开发区管委会,Development Zone Management Committee,luòyáng,洛阳,IDS_PZSD508,Mainland China,Henan
1817A,34.6258,112.4275,shìwěixīnbàngōngqū,市委新办公区,Municipal new office area,luòyáng,洛阳,IDS_PZSD508,Mainland China,Henan
1818A,36.061,114.483,miányánsuǒ,棉研所,Cotton Institute,ānyáng,安阳,Anyang,Mainland China,Henan
1819A,36.086,114.32,hóngmiàojiē,红庙街,Hongmiao Street,ānyáng,安阳,Anyang,Mainland China,Henan
1820A,36.087,114.358,yínxìngxiǎoqū,银杏小区,Ginkgo Community,ānyáng,安阳,Anyang,Mainland China,Henan
1821A,36.0883,114.3931,huánbǎojú,环保局,Environmental Protection Agency,ānyáng,安阳,Anyang,Mainland China,Henan
1822A,36.11,114.286,tiěfósì,铁佛寺,Iron Buddha Temple,ānyáng,安阳,Anyang,Mainland China,Henan
1823A,34.8022,114.3406,hédàyīfùyuàn,河大一附院,Heda First Affiliated Hospital,kāifēng,开封,Kaifeng,Mainland China,Henan
1824A,34.7781,114.3389,zhǒnglíuyìyuàn,肿瘤医院,Oncology hospitals,kāifēng,开封,Kaifeng,Mainland China,Henan
1825A,34.7975,114.3733,fùyòubǎojiànyuàn,妇幼保健院,Maternal and Child Health Hospital,kāifēng,开封,Kaifeng,Mainland China,Henan
1826A,34.7967,114.2886,shìjìxīngyòuéryuán,世纪星幼儿园,Century Star Kindergarten,kāifēng,开封,Kaifeng,Mainland China,Henan
1827A,35.235,113.261,shìjiāncèzhàn　,市监测站　,City monitoring station,jiāozuò,焦作,Jiaozuo,Mainland China,Henan
1828A,35.213,113.227,shìhuánbǎojú　,市环保局　,Municipal Environmental Protection Bureau,jiāozuò,焦作,Jiaozuo,Mainland China,Henan
1829A,35.1764,113.2464,gāoxīnqūzhèngfǔ,高新区政府,High-tech Zone Government,jiāozuò,焦作,Jiaozuo,Mainland China,Henan
1830A,35.259,113.1992,yǐngshìchéng,影视城,Film and television city,jiāozuò,焦作,Jiaozuo,Mainland China,Henan
1831A,33.7214,113.3064,gāoyākāiguānchǎng,高压开关厂,High voltage switch factory,píngdǐngshān,平顶山,MESA,Mainland China,Henan
1832A,33.721,113.322,xīnhuálv̌guǎn,新华旅馆,Xinhua Hostel,píngdǐngshān,平顶山,MESA,Mainland China,Henan
1833A,33.739000000000004,113.292,gūihuáshèjìyuàn,规划设计院,Planning and design institute,píngdǐngshān,平顶山,MESA,Mainland China,Henan
1834A,33.736999999999995,113.182,píngdǐngshāngōngxuéyuàn,平顶山工学院,Pingdingshan Institute of Technology,píngdǐngshān,平顶山,MESA,Mainland China,Henan
1835A,34.7772,111.1928,shìzhèngfǔ,市政府,Local government,sānménxiá,三门峡,Sanmenxia,Mainland China,Henan
1836A,34.794000000000004,111.158,kāifāqū,开发区,Thereof: Development,sānménxiá,三门峡,Sanmenxia,Mainland China,Henan
1837A,34.7917,111.1858,èr  yìn,二  印,Second print,sānménxiá,三门峡,Sanmenxia,Mainland China,Henan
1838A,34.7997,111.1489,fēngjǐngqū,风景区,Scenic area,sānménxiá,三门峡,Sanmenxia,Mainland China,Henan
1839A,30.7157,111.3009,sìlíngsān,四零三,Four zero three,yíchāng,宜昌,Yichang,Mainland China,Hubei
1840A,30.698,111.2992,báilónggǎng,白龙岗,Bailonggang,yíchāng,宜昌,Yichang,Mainland China,Hubei
1841A,30.6463,111.3549,wǔjiāgǎng,伍家岗,Wu Jiagang,yíchāng,宜昌,Yichang,Mainland China,Hubei
1842A,30.696,111.268,diǎnjūnqū,点军区,Point military region,yíchāng,宜昌,Yichang,Mainland China,Hubei
1843A,30.7819,111.3296,yílíngqū,夷陵区,Yiling District,yíchāng,宜昌,Yichang,Mainland China,Hubei
1844A,30.3175,112.2551,shìtúshūguǎn,市图书馆,City library,jīngzhōu,荆州,Jingzhou,Mainland China,Hubei
1845A,30.3515,112.2068,shìwěidǎngxiào,市委党校,Party School of Municipal Committee,jīngzhōu,荆州,Jingzhou,Mainland China,Hubei
1846A,30.3055,112.2887,kērónghuánbǎo,科融环保,Ke Rong Environmental Protection,jīngzhōu,荆州,Jingzhou,Mainland China,Hubei
1847A,29.3578,113.1094,nánhúfēngjǐngqū,南湖风景区,Nanhu Scenic Area,yuèyáng,岳阳,Yueyang,Mainland China,Hunan
1848A,29.4251,113.1493,chénglíngjī,城陵矶,Chenglingji,yuèyáng,岳阳,Yueyang,Mainland China,Hunan
1849A,29.3678,113.1772,kāifāqū,开发区,Thereof: Development,yuèyáng,岳阳,Yueyang,Mainland China,Hunan
1850A,29.4758,113.2621,yúnxīqū,云溪区,Yunxi District,yuèyáng,岳阳,Yueyang,Mainland China,Hunan
1851A,29.4402,112.9943,jūnshānqū,君山区,Junshan District,yuèyáng,岳阳,Yueyang,Mainland China,Hunan
1852A,29.355,113.2117,jīnfèngshǔikù,金凤水库,Jinfeng Reservoir,yuèyáng,岳阳,Yueyang,Mainland China,Hunan
1853A,29.0244,111.7044,shìjiāncèzhàn,市监测站,City monitoring station,chángdé,常德,Changde,Mainland China,Hunan
1854A,28.9703,111.6975,shìèrzhōng,市二中,City II,chángdé,常德,Changde,Mainland China,Hunan
1855A,29.0239,111.6753,dǐngchéngqūhuánbǎojú,鼎城区环保局,Dingcheng District Environmental Protection Bureau,chángdé,常德,Changde,Mainland China,Hunan
1856A,29.0381,111.6794,shìjìzhújiāndūjú,市技术监督局,Municipal Technical Supervision Bureau,chángdé,常德,Changde,Mainland China,Hunan
1857A,29.1456,111.7158,báihèshān,白鹤山,Baihe Mountain,chángdé,常德,Changde,Mainland China,Hunan
1858A,29.1389,110.48,yǒngdìngxīnqū,永定新区,Yongding New District,zhāngjiājiè,张家界,Zhangjiajie,Mainland China,Hunan
1859A,29.1242,110.4697,diànyèjú,电业局,Electric power bureau,zhāngjiājiè,张家界,Zhangjiajie,Mainland China,Hunan
1860A,29.3547,110.5594,wèiyānglù,未央路,Weiyang Road,zhāngjiājiè,张家界,Zhangjiajie,Mainland China,Hunan
1861A,29.315,110.4417,yuánjiājiè,袁家界,Yuan Jiajie,zhāngjiājiè,张家界,Zhangjiajie,Mainland China,Hunan
1862A,25.3167,110.4144,diànzǐkēdàyáoshānxiàoqū,电子科大尧山校区,Electronic Science and Technology University,gùilín,桂林,Guilin,Mainland China,Guangxi
1863A,25.2697,110.2819,jiāncèzhàn,监测站,GHG monitoring,gùilín,桂林,Guilin,Mainland China,Guangxi
1864A,25.2708,110.3089,lóngyǐnlùxiǎoxué,龙隐路小学,Long Yin Road Primary School,gùilín,桂林,Guilin,Mainland China,Guangxi
1865A,25.2178,110.2869,bāzhōng,八中,Eight,gùilín,桂林,Guilin,Mainland China,Guangxi
1866A,21.5958,109.2256,níuwěilíngshǔikù,牛尾岭水库,Niuweiling Reservoir,běihǎi,北海,North Sea,Mainland China,Guangxi
1867A,21.4086,109.1436,hǎitāngōngyuán,海滩公园,Beach park,běihǎi,北海,North Sea,Mainland China,Guangxi
1868A,21.4661,109.0981,xīnshìhuánbǎojú,新市环保局,New City Environmental Protection Agency,běihǎi,北海,North Sea,Mainland China,Guangxi
1869A,21.5233,109.1778,běihǎigōngyèyuán,北海工业园,Beihai Industrial Park,běihǎi,北海,North Sea,Mainland China,Guangxi
1870A,24.3898,109.4883,lǐudōngxiǎoxué,柳东小学,Liudong Primary School,lǐuzhōu,柳州,Liuzhou,Mainland China,Guangxi
1871A,24.3304,109.4108,huánbǎojiāncèzhàn,环保监测站,Environmental monitoring station,lǐuzhōu,柳州,Liuzhou,Mainland China,Guangxi
1872A,24.3406,109.3886,héxīshǔichǎng,河西水厂,Hexi Water Plant,lǐuzhōu,柳州,Liuzhou,Mainland China,Guangxi
1873A,24.299,109.4221,shìsìzhōng,市四中,City No. 4,lǐuzhōu,柳州,Liuzhou,Mainland China,Guangxi
